Country,Property Type,Size Factor,Price Factor,Bathroom Factor,Building Age Factor,Density vs. Modernity Factor
Turkey,apartment,-1.1514952388095807,0.7532154006301303,-0.6672896599036763,0.0404374770132411,-0.075472641049327
Montenegro,apartment,-1.196658041411743,0.5021467785782947,-0.5245678968526059,0.0266699829061178,-0.1308804196799326
Montenegro,apartment,-1.0147527930917617,0.3851840611693867,-0.3516567163335226,0.2270179072095431,-0.22709891434989
Montenegro,apartment,-1.1356634255831897,0.2580755740911293,-0.3541195536361947,-0.0711564455302453,-0.2552363840942473
Montenegro,apartment,-0.7843159981032745,1.1681921795207275,-0.4614945472381426,-0.0846317118957754,-0.6677661846371784
Montenegro,apartment,-0.913389631760274,1.8749350919497247,1.5429531703998194,-0.6457785196859576,1.7789547716769911
Montenegro,apartment,-0.7415544847097904,1.2604887226104218,-0.371049547157178,-0.0211062621916335,-0.803724502511613
Montenegro,apartment,-0.9043363309078458,0.779068031476136,-0.5407491757135223,-0.0048611351965517,-0.2391398192342577
Uzbekistan,apartment,-1.3407623342275452,0.547343533403826,2.9450754381682014,0.6403599944968725,0.8962424980886988
Montenegro,apartment,-0.0537948208923114,0.7215390080719819,-0.0917192830423931,0.4033117745568369,-0.6722757148421392
Uzbekistan,apartment,-3.0993312307725365,-0.0224534102345083,0.1663055230206315,0.6399535860710893,-0.7740542464932353
Uzbekistan,apartment,-0.2831900984606566,-0.557315312486382,-0.639620903621288,0.3982275026129028,0.5087395686308794
Turkey,apartment,0.7488383680808596,0.3336404488612307,0.2260940365169526,1.0335698981280532,-0.8778101312720977
Turkey,apartment,-0.8304790684999952,1.25283426900826,-0.2428932663452331,0.3212772262590865,-0.8484259546604686
Turkey,apartment,1.5369559244952724,-0.1783717480307907,-0.9317359076205594,0.2715319877862631,0.5829247052656807
Turkey,apartment,0.9687644164126032,-0.2343310517047709,-1.2827344615739895,-0.0371198212006321,1.0383905831256688
Turkey,apartment,-0.9249512064195482,0.6295293219103447,-0.4471101041370642,0.2886843108017579,-0.201473951983876
Turkey,apartment,-0.9696787465919876,0.7332492880033042,-1.168879544911689,-0.3584040935660994,0.4570446375761848
Turkey,apartment,1.1553517103861677,-0.6168056741747442,-0.9393335847110472,0.3679882201875326,0.9135156587333516
Montenegro,apartment,-1.1627447896416112,0.4017146097658592,-0.4425980796588226,0.1238082625074358,-0.1566604008182364
Montenegro,apartment,-1.3248621169726265,0.5016131112610974,-0.5939541687548595,-0.0514447816471099,-0.0713415617419557
Montenegro,apartment,1.2097936191221743,1.3011900744925249,3.178453729926017,0.8090897887968977,0.4143529347968324
Montenegro,apartment,-0.8557290663344936,1.3655808011130597,-0.3985210365688322,-0.0843832921647366,-0.8410410829749254
Montenegro,apartment,0.444891573085086,1.737927669747105,2.646630801174097,0.1469794300924497,0.651239078565666
Uzbekistan,apartment,-1.7361692316523565,0.7812285003781366,3.171368817433233,0.7245615391722205,0.5212670213960415
Montenegro,apartment,-2.372437790156724,0.8081912223591731,-1.2083817329746194,-0.6230223862523614,0.3723790095671661
Uzbekistan,apartment,-1.51231085057188,0.2186953910224213,0.6371563757412891,1.0785286727682366,-1.2655248879699128
Turkey,apartment,-0.4125603039865629,0.4579359004825023,-1.1648930851293586,-0.5804944315742476,0.5392655627797821
Turkey,apartment,0.0001253534820572,0.6405286385792577,1.1638047276658825,-0.9445370217804196,2.938668010965555
Turkey,apartment,-0.6480850059061816,0.7847926337813625,-0.5159872245935,0.1562715486016007,-0.3458313483075686
Turkey,apartment,-0.3449160649089264,0.5891124952692508,-0.0077761480658058,0.6787403764761221,-0.7253326457727144
Turkey,apartment,0.1818893018198725,0.56436143997997,-0.2476046397489967,0.5561426410959919,-0.4319039194231927
Turkey,apartment,-0.7728768605330425,1.527953418411057,2.5164865486634835,0.2038576246272254,0.8572447037029541
Montenegro,apartment,-0.6565048772452107,0.2868333303764108,0.0037034368965562,0.5252892875143984,-0.6536441042782707
Montenegro,apartment,-2.7398568250239763,0.4898115720856477,-1.2068188699260334,-0.6059612259492204,0.511410662778185
